date,open,close,high,low
2018-05-03,9184.8,9318.2,9375.8,8980.0
2018-05-10,8468.3,8336.1,8492.7,8100.0
2018-05-17,7977.5,7494.8,8020.0,7402.7
2018-05-24,7465.3,7375.12085307,7560.0,7270.5
2018-05-31,7622.2,7654.0,7700.0,7491.7
2018-06-07,6543.9,6295.1,6611.7,6107.87718467
2018-06-14,6734.8,6760.4,6825.0,6560.0
2018-06-21,6073.4,6133.08668215,6192.7,5984.9
2018-06-28,6509.3,6590.0,6784.9,6414.1
2018-07-05,6301.8,6377.8,6407.9,6286.3
2018-07-12,7319.8,7379.4,7588.0,7246.5
2018-07-19,8389.9,8178.4,8488.1,8073.0
2018-07-26,7737.9,7606.0,7756.1,7440.2
2018-08-02,6718.7,6280.7,6720.1,6128.2
2018-08-09,6189.0,6270.2,6647.6,6180.00532947
2018-08-16,6480.6,6363.8,6899.0,6250.3
2018-08-23,7079.7,7039.0,7139.4,6924.26926081
2018-08-30,7358.9,6704.0,7404.0,6700.0
2018-09-06,6292.3,6332.41672182,6355.0,6202.8
2018-09-13,6334.5,6390.9,6549.9,6100.0
2018-09-20,6442.70984901,6462.4,6558.0,6382.5
2018-09-27,6530.1,6503.2,6555.1,6424.6
2018-10-04,6663.0,6630.07445752,6663.1,6513.52952635
2018-10-11,6754.2,6736.0,6794.0,6674.3
2018-10-18,6550.0,6554.1,6626.3,6536.0
2018-10-25,6330.1,6368.3871592,6419.8,6242.1
2018-11-01,6520.1,6572.9,6615.0,6511.0
2018-11-08,6459.0694273,5922.4,6485.8,5678.0
2018-11-15,4570.9,4662.7,4787.3,4412.3
2018-11-22,3883.4,4305.0,4447.6,3882.9
2018-11-29,3982.2,3772.9,4000.77105811,3750.0
2018-12-06,3435.2,3535.6,3617.4,3415.0
2018-12-13,3780.7,3810.0,4043.0,3756.0
2018-12-20,3909.6,3930.0,3990.0,3812.1
2018-12-27,3963.0,4048.8,4083.470676,3917.9
2019-01-03,4100.0,4083.3,4168.9,4010.0
2019-01-10,3653.3,3673.6,3759.89484429,3642.3589356
2019-01-17,3639.1,3622.3,3677.0,3591.2
2019-01-24,3478.0,3529.6,3550.0,3451.2
2019-01-31,3513.20366088,3451.9,3520.99742772,3405.32458599
2019-02-07,3694.1,3666.1,3742.39039255,3631.0
2019-02-14,3989.8,4055.0,4070.0,3963.0
2019-02-21,3896.8,3900.1,3934.0,3761.2
2019-02-28,3951.6,3951.4,3986.5,3910.9
2019-03-07,3954.1,3946.2,3972.6,3925.1
2019-03-14,4104.5,4127.16189623,4136.5,4072.7
2019-03-21,3992.7,4102.5,4109.9,3979.3
